     MBA.cp7	MBA.cp4	MBA.cx2	MBA.cc2	MBA.cc4	MBA.cx1	MBA.cp3	MBA.cp6	MBA.cp5	MBA.cc6	MBA.cx4	MBA.cp2	MBA.cc3	MBA.cp1	MBA.cx3	MBA.cc5	MBA.cx5	MBA.cc1
1072_g_at	5.94908365574892	6.0108568375671	6.49901251051056	5.94974654349486	5.99187148858883	6.05719011681092	5.85694285173563	5.8581464019135	5.95061773053114	6.1663538579204	5.82074795241382	6.01160821098226	6.04455391790772	5.75789858091582	5.87544029526510	5.83514862348948	6.0270038144038	5.74859882330238
1073_at	7.04841943201783	7.13966264905156	6.79465308521124	7.13706167349779	7.84899073711091	7.07927585193191	6.8172978375422	6.9937332864534	6.99637291797544	6.91049201174042	7.66897883435312	6.99408943924196	6.9331485447387	6.81894002482939	6.8037802248654	6.98233233024357	6.85824411918665	7.51742063327776
1074_at	7.15150881232804	6.92366439182649	5.65180281031385	5.95702980302904	7.27434367607773	7.06348271303485	6.88622179115643	7.0006463613799	6.47517102642412	5.56949768735862	7.03652317370816	6.87478266781440	6.75156637951835	7.38322624332433	6.89678087540146	6.61340269640037	5.72098487409907	6.88903488081493
1075_f_at	2.78961079098232	2.70586666565673	2.95575599268109	2.94703729989725	2.77386476817235	2.99350809638291	2.84017968880791	2.98553382060467	2.91334124830789	3.01420512192918	2.86866469113404	2.82078428586526	2.84848569467701	2.74914436167997	2.87561553979752	2.74564781739669	2.92752543683603	2.74922952220314
1076_at	2.43717525396768	2.29921642896165	2.0500961623124	2.58813284699868	2.29718570297586	2.42666992824298	2.19988550493726	2.33619882251212	2.18907749131133	2.44739460640924	2.1292914655895	2.28899444886348	2.28406368574844	2.32095978210626	2.22228386304567	2.35657562399837	2.31435951627786	2.20700240457819
1077_at	2.75042121313806	2.59072126600982	2.64487812334094	2.55464670458148	2.46776483756092	2.62648641887081	2.57119106174966	2.54556290697793	2.67085960177106	2.68773997937168	2.53221229014858	2.41939927560456	2.57491724650872	2.48926523478117	2.72243536348161	2.46534909509935	2.65634865410266	2.40240358375929
1078_at	2.78102099686243	2.68772749986824	3.13538426808065	2.97218787103957	2.73106581428104	2.94082502180481	2.94104663280412	2.84473810560301	2.84042265125251	3.04064860266648	2.86715685431345	2.96063901801985	2.89018297654709	2.77791085140304	2.82448460247526	2.8367661705496	2.83076383259067	2.68854816277937
1079_g_at	3.9115873412865	3.92157437825542	4.05921560666693	3.97986015599764	3.86936240146479	4.00514112486265	3.93781136392176	3.94755295857968	4.02869820223465	4.30170988566276	3.94417676823602	3.99135938299371	3.94664982600211	3.94621008822321	4.01892602524573	4.0055314866761	4.04565027977792	3.75188567976454
107_at	4.58047960799581	4.63006304345859	5.29086507242516	4.70696732615886	4.66442587169837	4.62711746821497	4.46500677104571	4.44594608812476	4.46655079411959	4.59909416694201	4.22969217073289	4.63322151189701	4.47439388807605	4.43358065466937	4.53721261018717	4.62522004795158	4.73171974928921	4.34263643396212
1080_s_at	3.59534121965659	3.53233939683165	4.04986271631101	3.96664552942868	3.70235078257363	3.75967861275919	3.66385740579965	3.73505667102719	3.66975240084675	3.95738029454951	3.75090264134258	3.68806195568217	3.79260854555307	3.51465660746906	3.6306072986341	3.77790648856086	3.52598889464358	3.74313426462084
